Lot ID,Transect,Store,Latitude,Longitude,Date,Quantity,Habitat,Check Date,Distance,Type,Created By User,Created On,Day,Day 1,Date Verbatim,Direction Of Observation,Locality
999,2_MA_NE_6,Ghana freezer,6.211814263,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,100,CDC,naana,28/11/2019 09:40,20,,,,Mafi Agorve
998,2_MA_NE_6,Ghana freezer,6.211362132,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,50,Heath,naana,28/11/2019 09:39,20,,,,Mafi Agorve
997,2_MA_NE_6,Ghana freezer,6.211271705,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,40,Pitfall,naana,28/11/2019 09:36,20,,,,Mafi Agorve
996,2_MA_NE_6,Ghana freezer,6.211181279,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,30,Pitfall,naana,28/11/2019 09:34,20,,,,Mafi Agorve
995,2_MA_NE_6,Ghana freezer,6.211090853,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,20,Pitfall,naana,28/11/2019 09:23,20,,,,Mafi Agorve
994,2_MA_NE_6,Ghana freezer,6.211000426,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,10,Pitfall,naana,28/11/2019 09:22,20,,,,Mafi Agorve
993,2_MA_NE_6,Ghana freezer,6.211271705,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,40,Yellow Pan,naana,28/11/2019 09:21,20,,,,Mafi Agorve
992,2_MA_NE_6,Ghana freezer,6.211181279,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,30,Yellow Pan,naana,28/11/2019 09:19,20,,,,Mafi Agorve
991,2_MA_NE_6,Ghana freezer,6.211090853,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,20,Yellow Pan,naana,28/11/2019 09:18,20,,,,Mafi Agorve
990,2_MA_NE_6,Ghana freezer,6.211000426,0.4426,20/11/2019 10:35,0,Savannah,28/11/2019,10,Yellow Pan,naana,28/11/2019 09:17,20,,,,Mafi Agorve
99,AM02,Ghana freezer,6.460389159,0.31763742,21/03/2019 10:15,0,Savannah,,40,Yellow Pan,benadams,22/08/2019 19:47,21,,,,Abutia Amegame
989.4,2_MA_NE_6,,6.21091,0.4426,20/11/2019 10:35,0,,,0,Malaise,talya,25/02/2022 14:15,20,,,,Mafi Agorve
989.3,2_MA_NE_6,,6.21091,0.4426,20/11/2019 10:35,0,,,0,Malaise,talya,25/02/2022 14:06,20,,,,Mafi Agorve
989.2,2_MA_NE_6,,6.21091,0.4426,20/11/2019 10:35,0,,,0,Malaise,talya,25/02/2022 13:43,20,,,,Mafi Agorve
989.1,2_MA_NE_6,,6.21091,0.4426,20/11/2019 10:35,0,,,0,Malaise,talya,25/02/2022 13:18,20,,,,Mafi Agorve
