order,english_common_name
Araneae,Spiders
Blattodea,Termites and cockroaches
Coleoptera,Beetles
Dermaptera,Earwigs
Diptera,Flies
Entomobryomorpha,Springtails
Ephemeroptera,Mayflies
Hemiptera,True bugs
Hymenoptera,"Ants, bees and wasps"
Lepidoptera,Butterflies and moths
Mesostigmata,Mites
Neuroptera,"Lacewings, mantidflies and antlions"
Odonata,Dragonflies and damselflies
Orthoptera,"Crickets, grasshoppers and locusts"
Plecoptera,Stoneflies
Psocodea,Bark lice and book lice
Strepsiptera,Small parasitic insects
Thysanoptera,Thrips
Trichoptera,Caddisflies
Ixodida,Parasitic arachnids
Mantodea,Preying mantids
