BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:ADP5792	1	Steninae	1	T
BOLD:ADP6355	6	Chrysomelidae	6	T
BOLD:ADP9449	5	Asilidae	5	T
BOLD:ADP9546	1	Halictidae	1	T
BOLD:ADQ0803	2	Chrysomelidae	1	T
BOLD:ADQ0803	2	Coleoptera	1	T
BOLD:ADQ1700	2	Issidae	2	T
BOLD:ADQ2968	2	Aphrophoridae	2	T
BOLD:ADQ4449	2	Miomantidae	1	T
BOLD:ADQ4449	2	Miomantis	1	T
BOLD:ADQ4983	1	Scutelleridae	1	T
BOLD:AEC6526	1	Reduviidae	1	T
BOLD:AEC6543	2	Scelionidae	2	T
BOLD:AEC6567	3	Hemiptera	1	T
BOLD:AEC6567	3	Tingidae	2	T
BOLD:AEC6578	4	Gastrosericus	3	T
BOLD:AEC6578	4	Larrinae	1	T
BOLD:AEC6588	1	Diopsinae	1	T
BOLD:AEC6597	2	Delphacidae	2	T
BOLD:AEC6613	32	Dolichopodidae	32	T
BOLD:AEC6652	1	Buprestidae	1	T
BOLD:AEC6661	10	Formicidae	10	T
BOLD:AEC6683	1	Curculionidae	1	T
BOLD:AEC6700	2	Formicidae	2	T
BOLD:AEC6710	1	Apidae	1	T
BOLD:AEC6788	5	Chrysomelidae	5	T
BOLD:AEC6871	1	Scelionidae	1	T
BOLD:AEC6890	4	Bethylidae	4	T
BOLD:AEC6896	3	Cixiidae	3	T
BOLD:AEC6943	1	Cecidomyiidae	1	T
BOLD:AEC6970	6	Bethylidae	1	T
BOLD:AEC6970	6	Hymenoptera	5	T
BOLD:AEC6993	1	Apinae	1	T
BOLD:AEC7001	2	Scarabaeidae	2	T
BOLD:AEC7053	2	Formicidae	2	T
BOLD:AEC7087	2	Chrysomelidae	1	T
BOLD:AEC7087	2	Coleoptera	1	T
BOLD:AEC7092	13	Bethylidae	13	T
BOLD:AEC7214	1	Termitidae	1	T
BOLD:AEC7253	3	Coleoptera	1	T
BOLD:AEC7253	3	Scarabaeidae	2	T
BOLD:AEC7282	2	Alysiinae	2	T
BOLD:AEC7336	2	Chloropidae	2	T
BOLD:AEC7341	1	Coleoptera	1	T
BOLD:AEC7388	4	Formicidae	4	T
BOLD:AEC7390	1	Cardiochilinae	1	T
