BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AEK3036	1	Ephemeroptera	1	T
BOLD:AEK3356	8	Ceratopogonidae	8	T
BOLD:AEK4288	18	Arachnida	18	T
BOLD:AEK4289	1	Arachnida	1	T
BOLD:AEK7033	2	Lepidoptera	2	T
BOLD:AEK7121	8	Miridae	8	T
BOLD:AEK7640	2	Cydia	2	T
BOLD:AEK8136	1	Euphorinae	1	T
BOLD:AEK8138	1	Doryctinae	1	T
BOLD:AEK8139	1	Euphorinae	1	T
BOLD:AEK8367	3	Tenebrionidae	3	T
BOLD:AEK8368	2	Laemophloeidae	2	T
BOLD:AEK9369	5	Euphorinae	5	T
BOLD:AEK9437	6	Carabidae	6	T
BOLD:AEL0492	1	Thrips	1	T
BOLD:AEL2941	7	Formicidae	7	T
BOLD:AEL3375	4	Diptera	1	T
BOLD:AEL3375	4	Stratiomyidae	3	T
BOLD:AEL4410	1	Cecidomyiidae	1	T
BOLD:AEL4609	2	Gelechiidae	2	T
BOLD:AEL4610	1	Anacampsinae	1	T
BOLD:AEL5408	7	Aleyrodidae	7	T
BOLD:AEL6250	8	Phycitinae	8	T
BOLD:AEL6845	40	Melissotarsus	40	T
BOLD:AEL6886	3	Anteoninae	3	T
BOLD:AEL7260	3	Paederinae	3	T
BOLD:AEL7293	115	Paederinae	115	T
BOLD:AEL7295	1	Latridiidae	1	T
BOLD:AEL7306	2	Pselaphinae	2	T
BOLD:AEL7330	3	Chironomidae	3	T
BOLD:AEL7341	8	Cicadellidae	8	T
BOLD:AEL7353	19	Nabidae	19	T
BOLD:AEL7383	9	Scydmaeninae	9	T
BOLD:AEL7393	32	Oxytelinae	32	T
BOLD:AEL7394	3	Oxytelinae	3	T
BOLD:AEL7395	1	Staphylinidae	1	T
BOLD:AEL7396	7	Chrysomelidae	2	T
BOLD:AEL7396	7	Coleoptera	5	T
BOLD:AEL7397	43	Staphylininae	43	T
BOLD:AEL7468	1	Cecidomyiidae	1	T
BOLD:AEL7484	5	Carabidae	5	T
BOLD:AEL7485	1	Brachininae	1	T
BOLD:AEL7486	1	Scirtidae	1	T
BOLD:AEL7492	10	Arachnida	10	T
BOLD:AEL7493	17	Arachnida	17	T
BOLD:AEL7653	5	Chironomidae	5	T
BOLD:AEL7663	1	Thrips	1	T
BOLD:AEL7678	12	Dytiscidae	12	T
BOLD:AEL7683	9	Aleocharinae	9	T
BOLD:AEL7701	14	Miridae	14	T
BOLD:AEL7711	1	Cicadellidae	1	T
BOLD:AEL7752	142	Oxytelinae	142	T
BOLD:AEL7801	3	Aphodiinae	3	T
BOLD:AEL7809	19	Hydrophilidae	19	T
BOLD:AEL7866	33	Miridae	33	T
BOLD:AEL7875	1	Cecidomyiidae	1	T
BOLD:AEL7887	1	Cicadellidae	1	T
BOLD:AEL7901	3	Lepidoptera	3	T
BOLD:AEL7933	2	Paederinae	2	T
BOLD:AEL7960	3	Oxytelinae	3	T
BOLD:AEL7983	1	Psylloidea_incertae_sedis	1	T
BOLD:AEL8024	2	Miridae	2	T
BOLD:AEL8025	2	Aleyrodidae	2	T
BOLD:AEL8068	5	Archeocrypticidae	5	T
BOLD:AEL8103	2	Harpalinae	2	T
BOLD:AEL8170	4	Scatopsidae	4	T
BOLD:AEL8251	1	Schizopteridae	1	T
BOLD:AEL8266	2	Aphodiinae	2	T
BOLD:AEL8313	12	Hydrophilidae	12	T
BOLD:AEL8314	23	Scarabaeidae	23	T
BOLD:AEL8328	3	Staphylinidae	3	T
BOLD:AEL8401	2	Figitidae	2	T
