BIN	TotalMembers	Taxa	Count in Project	Unique
BOLD:AGB1476	3	Tortricidae	3	T
BOLD:AGB1479	1	Tortricidae	1	T
BOLD:AGB1659	1	Tabanidae	1	T
BOLD:AGB1722	1	Sterrhinae	1	T
BOLD:AGB1877	1	Scoliidae	1	T
BOLD:AGB1879	3	Coleoptera	2	T
BOLD:AGB1879	3	Scirtidae	1	T
BOLD:AGB1926	1	Scelionidae	1	T
BOLD:AGB2105	6	Rhyparochromidae	6	T
BOLD:AGB2881	8	Pyralidae	8	T
BOLD:AGB2882	1	Pyralidae	1	T
BOLD:AGB2884	1	Pyralidae	1	T
BOLD:AGB2886	3	Pyralidae	3	T
BOLD:AGB2887	3	Pyralidae	3	T
BOLD:AGB2888	1	Pyralidae	1	T
BOLD:AGB2891	1	Pyralidae	1	T
BOLD:AGB2892	1	Pyralidae	1	T
BOLD:AGB2893	1	Pyralidae	1	T
BOLD:AGB2895	1	Phycitinae	1	T
BOLD:AGB2897	5	Lepidoptera	4	T
BOLD:AGB2897	5	Pyralidae	1	T
BOLD:AGB2969	2	Psychidae	2	T
BOLD:AGB3224	1	Phycitinae	1	T
BOLD:AGB3230	1	Phycitinae	1	T
BOLD:AGB3362	1	Pentatomidae	1	T
BOLD:AGB3459	3	Orthoptera	3	T
BOLD:AGB3466	1	Orthoptera	1	T
BOLD:AGB3472	1	Orthoptera	1	T
BOLD:AGB3474	1	Orthoptera	1	T
BOLD:AGB3486	1	Orthoptera	1	T
BOLD:AGB3487	1	Orthoptera	1	T
BOLD:AGB3488	1	Orthoptera	1	T
BOLD:AGB3511	1	Ophioninae	1	T
BOLD:AGB3643	2	Oecanthidae	2	T
BOLD:AGB3684	2	Nolidae	2	T
BOLD:AGB3707	1	Noctuidae	1	T
BOLD:AGB3708	1	Noctuidae	1	T
BOLD:AGB3709	1	Noctuidae	1	T
BOLD:AGB3710	1	Noctuidae	1	T
BOLD:AGB3711	1	Euteliidae	1	T
BOLD:AGB4095	2	Muscidae	2	T
BOLD:AGB4225	1	Membracidae	1	T
BOLD:AGB4368	1	Limacodidae	1	T
BOLD:AGB4400	2	Lepidoptera	2	T
BOLD:AGB4401	1	Lepidoptera	1	T
BOLD:AGB4403	3	Lepidoptera	3	T
BOLD:AGB4405	65	Lepidoptera	65	T
BOLD:AGB4408	7	Lepidoptera	7	T
BOLD:AGB4409	2	Lepidoptera	2	T
BOLD:AGB4410	2	Erebidae	1	T
BOLD:AGB4410	2	Lepidoptera	1	T
BOLD:AGB4411	1	Lepidoptera	1	T
BOLD:AGB4412	1	Lepidoptera	1	T
BOLD:AGB4413	1	Lepidoptera	1	T
BOLD:AGB4414	2	Lepidoptera	2	T
BOLD:AGB4415	1	Lepidoptera	1	T
BOLD:AGB4416	2	Lepidoptera	2	T
BOLD:AGB4417	2	Lepidoptera	2	T
BOLD:AGB4420	1	Lepidoptera	1	T
BOLD:AGB4421	1	Lepidoptera	1	T
BOLD:AGB4423	1	Lepidoptera	1	T
BOLD:AGB4424	1	Lepidoptera	1	T
BOLD:AGB4425	1	Lepidoptera	1	T
BOLD:AGB4427	1	Lepidoptera	1	T
BOLD:AGB4431	1	Lepidoptera	1	T
BOLD:AGB4432	1	Lepidoptera	1	T
BOLD:AGB4433	1	Lepidoptera	1	T
BOLD:AGB4434	1	Lepidoptera	1	T
BOLD:AGB4435	1	Lepidoptera	1	T
BOLD:AGB4438	1	Lepidoptera	1	T
BOLD:AGB4440	2	Lepidoptera	2	T
BOLD:AGB4492	1	Lepidoptera	1	T
BOLD:AGB4493	1	Lepidoptera	1	T
BOLD:AGB4494	1	Lepidoptera	1	T
BOLD:AGB4497	1	Lepidoptera	1	T
BOLD:AGB4498	1	Lepidoptera	1	T
BOLD:AGB4499	1	Lepidoptera	1	T
BOLD:AGB4500	1	Lepidoptera	1	T
BOLD:AGB4502	1	Lepidoptera	1	T
BOLD:AGB4682	1	Lepidoptera	1	T
BOLD:AGB4771	1	Lepidoptera	1	T
BOLD:AGB4772	3	Lepidoptera	3	T
BOLD:AGB4773	1	Lepidoptera	1	T
BOLD:AGB4774	2	Lepidoptera	2	T
BOLD:AGB4775	1	Lepidoptera	1	T
BOLD:AGB4776	1	Lepidoptera	1	T
BOLD:AGB4895	1	Hypeninae	1	T
BOLD:AGB5544	2	Dorylinae	2	T
BOLD:AGB5636	1	Ichneumonidae	1	T
BOLD:AGB5639	1	Agathidinae	1	T
BOLD:AGB5673	2	Formicidae	2	T
BOLD:AGB5675	1	Ophioninae	1	T
BOLD:AGB5702	1	Dorylinae	1	T
BOLD:AGB5976	1	Doryctinae	1	T
BOLD:AGB5982	1	Rogadinae	1	T
BOLD:AGB5983	2	Hormiinae	2	T
BOLD:AGB5995	1	Ichneumonidae	1	T
BOLD:AGB6603	2	Rhyparochromidae	2	T
BOLD:AGB6617	1	Cicadellidae	1	T
BOLD:AGB6618	1	Belostomatidae	1	T
