lot,bottle_start_datetime,bottle_end_datetime,bottle_start_time,bottle_end_time,overall_lot,start_classification,coarse_timing
1000,2019-11-20T11:00:00Z,2019-11-20T12:00:00Z,11:00:00,12:00:00,1000,06:00:00,Day
1000.1,2019-11-20T12:00:00Z,2019-11-20T18:00:00Z,12:00:00,18:00:00,1000,12:00:00,Day
1000.2,2019-11-20T18:00:00Z,2019-11-21T00:00:00Z,18:00:00,00:00:00,1000,18:00:00,Night
1000.3,2019-11-21T00:00:00Z,2019-11-21T06:00:00Z,00:00:00,06:00:00,1000,00:00:00,Night
1000.4,2019-11-21T06:00:00Z,2019-11-21T11:00:00Z,06:00:00,11:00:00,1000,06:00:00,Day
1011,2019-11-20T11:59:00Z,2019-11-20T12:00:00Z,11:59:00,12:00:00,1011,06:00:00,Day
1011.1,2019-11-20T12:00:00Z,2019-11-20T18:00:00Z,12:00:00,18:00:00,1011,12:00:00,Day
1011.2,2019-11-20T18:00:00Z,2019-11-21T00:00:00Z,18:00:00,00:00:00,1011,18:00:00,Night
1011.3,2019-11-21T00:00:00Z,2019-11-21T06:00:00Z,00:00:00,06:00:00,1011,00:00:00,Night
1011.4,2019-11-21T06:00:00Z,2019-11-21T11:59:00Z,06:00:00,11:59:00,1011,06:00:00,Day
1022,2019-11-20T12:17:00Z,2019-11-20T18:00:00Z,12:17:00,18:00:00,1022,12:00:00,Day
1022.1,2019-11-20T18:00:00Z,2019-11-21T00:00:00Z,18:00:00,00:00:00,1022,18:00:00,Night
1022.2,2019-11-21T00:00:00Z,2019-11-21T06:00:00Z,00:00:00,06:00:00,1022,00:00:00,Night
1022.3,2019-11-21T06:00:00Z,2019-11-21T12:00:00Z,06:00:00,12:00:00,1022,06:00:00,Day
1022.4,2019-11-21T12:00:00Z,2019-11-21T12:17:00Z,12:00:00,12:17:00,1022,12:00:00,Day
1033,2019-12-09T12:19:00Z,2019-12-09T18:00:00Z,12:19:00,18:00:00,1033,12:00:00,Day
1033.1,2019-12-09T18:00:00Z,2019-12-10T00:00:00Z,18:00:00,00:00:00,1033,18:00:00,Night
1033.2,2019-12-10T00:00:00Z,2019-12-10T06:00:00Z,00:00:00,06:00:00,1033,00:00:00,Night
1033.3,2019-12-10T06:00:00Z,2019-12-10T12:00:00Z,06:00:00,12:00:00,1033,06:00:00,Day
1033.4,2019-12-10T12:00:00Z,2019-12-10T12:19:00Z,12:00:00,12:19:00,1033,12:00:00,Day
1044,2019-12-09T12:49:00Z,2019-12-09T18:00:00Z,12:49:00,18:00:00,1044,12:00:00,Day
1044.1,2019-12-09T18:00:00Z,2019-12-10T00:00:00Z,18:00:00,00:00:00,1044,18:00:00,Night
1044.2,2019-12-10T00:00:00Z,2019-12-10T06:00:00Z,00:00:00,06:00:00,1044,00:00:00,Night
1044.3,2019-12-10T06:00:00Z,2019-12-10T12:00:00Z,06:00:00,12:00:00,1044,06:00:00,Day
1044.4,2019-12-10T12:00:00Z,2019-12-10T12:49:00Z,12:00:00,12:49:00,1044,12:00:00,Day
1055,2019-12-09T13:45:00Z,2019-12-09T18:00:00Z,13:45:00,18:00:00,1055,12:00:00,Day
1055.1,2019-12-09T18:00:00Z,2019-12-10T00:00:00Z,18:00:00,00:00:00,1055,18:00:00,Night
1055.2,2019-12-10T00:00:00Z,2019-12-10T06:00:00Z,00:00:00,06:00:00,1055,00:00:00,Night
1055.3,2019-12-10T06:00:00Z,2019-12-10T12:00:00Z,06:00:00,12:00:00,1055,06:00:00,Day
1055.4,2019-12-10T12:00:00Z,2019-12-10T13:45:00Z,12:00:00,13:45:00,1055,12:00:00,Day
