Lot ID,Transect,Store,Latitude,Longitude,Date,Quantity,Habitat,Check Date,Distance,Type,Created By User,Created On,Day,Day 1,Date Verbatim,Direction Of Observation,Locality,time_increment,overall_lot,bottle_start_time,bottle_end_time
1000,2_MA_SE_6,Ghana freezer,6.2082,0.44409,2019-11-20T11:00:00Z,0,Savannah,28/11/2019,0,Malaise,naana,28/11/2019 09:41,20,NA,NA,NA,Mafi Agorve,0,1000,2019-11-20T11:00:00Z,2019-11-20T12:00:00Z
1000.1,2_MA_SE_6,NA,6.2082,0.44409,2019-11-20T11:00:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 13:20,20,NA,NA,NA,Mafi Agorve,1,1000,2019-11-20T12:00:00Z,2019-11-20T18:00:00Z
1000.2,2_MA_SE_6,NA,6.2082,0.44409,2019-11-20T11:00:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 13:45,20,NA,NA,NA,Mafi Agorve,2,1000,2019-11-20T18:00:00Z,2019-11-21T00:00:00Z
1000.3,2_MA_SE_6,NA,6.2082,0.44409,2019-11-20T11:00:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 14:08,20,NA,NA,NA,Mafi Agorve,3,1000,2019-11-21T00:00:00Z,2019-11-21T06:00:00Z
1000.4,2_MA_SE_6,NA,6.2082,0.44409,2019-11-20T11:00:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 14:16,20,NA,NA,NA,Mafi Agorve,4,1000,2019-11-21T06:00:00Z,2019-11-21T11:00:00Z
1011,2_MA_SW_6,Ghana freezer,6.20923,0.43862,2019-11-20T11:59:00Z,0,Savannah,28/11/2019,0,Malaise,naana,28/11/2019 09:58,20,NA,NA,NA,Mafi Agorve,0,1011,2019-11-20T11:59:00Z,2019-11-20T12:00:00Z
1011.1,2_MA_SW_6,NA,6.20923,0.43862,2019-11-20T11:59:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 13:19,20,NA,NA,NA,Mafi Agorve,1,1011,2019-11-20T12:00:00Z,2019-11-20T18:00:00Z
1011.2,2_MA_SW_6,NA,6.20923,0.43862,2019-11-20T11:59:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 13:44,20,NA,NA,NA,Mafi Agorve,2,1011,2019-11-20T18:00:00Z,2019-11-21T00:00:00Z
1011.3,2_MA_SW_6,NA,6.20923,0.43862,2019-11-20T11:59:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 14:07,20,NA,NA,NA,Mafi Agorve,3,1011,2019-11-21T00:00:00Z,2019-11-21T06:00:00Z
1011.4,2_MA_SW_6,NA,6.20923,0.43862,2019-11-20T11:59:00Z,0,NA,NA,0,Malaise,talya,25/02/2022 14:16,20,NA,NA,NA,Mafi Agorve,4,1011,2019-11-21T06:00:00Z,2019-11-21T11:59:00Z
