Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Name_2,description_2,timestamp_2,begin_2,end_2,altitudeMode_2,tessellate_2,extrude_2,visibility_2,drawOrder_2,icon_2
"1",1<BR>ECID=43405f72-ea83-4f08-a131-e30ad7576329<BR>ID=43405f72-ea83-4f08-a131-e30ad7576329<BR>LABEL=UNIT:1||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"10",10<BR>ECID=41a41c71-d7e5-4dcd-b3ef-1a8dc013d717<BR>ID=41a41c71-d7e5-4dcd-b3ef-1a8dc013d717<BR>LABEL=UNIT:10||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=10<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"14",14<BR>ECID=245bb2c4-765c-4fa8-a558-10062f0316df<BR>ID=245bb2c4-765c-4fa8-a558-10062f0316df<BR>LABEL=UNIT:14||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=14<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1492",1492<BR>ECID=f98139f0-a4a3-4a51-a803-cd3926266869<BR>ID=f98139f0-a4a3-4a51-a803-cd3926266869<BR>LABEL=UNIT:1492||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1492<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1492.1",1492.1<BR>ECID=198d127e-46b5-480a-b49f-8d4cd28d9d2e<BR>ID=198d127e-46b5-480a-b49f-8d4cd28d9d2e<BR>LABEL=UNIT:1492.1||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1492.1<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1492.2",1492.2<BR>ECID=f95bdb8f-555c-4547-b044-71ac2a35c4a2<BR>ID=f95bdb8f-555c-4547-b044-71ac2a35c4a2<BR>LABEL=UNIT:1492.2||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1492.2<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1492.3",1492.3<BR>ECID=94bde57c-fc95-47a0-812c-8a1f76f99cc3<BR>ID=94bde57c-fc95-47a0-812c-8a1f76f99cc3<BR>LABEL=UNIT:1492.3||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1492.3<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1492.4",1492.4<BR>ECID=a64af15e-04ea-4877-bfbf-9821d861e870<BR>ID=a64af15e-04ea-4877-bfbf-9821d861e870<BR>LABEL=UNIT:1492.4||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1492.4<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1493",1493<BR>ECID=632d7c9c-e4ef-4944-918e-e7a25b969a54<BR>ID=632d7c9c-e4ef-4944-918e-e7a25b969a54<BR>LABEL=UNIT:1493||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1493<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"1497",1497<BR>ECID=de68ee3e-95a6-4daf-bb52-688f387e4c1c<BR>ID=de68ee3e-95a6-4daf-bb52-688f387e4c1c<BR>LABEL=UNIT:1497||Abutia Amegame|2021525<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=1497<BR>DATE=2021-05-25T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"2",2<BR>ECID=ffb5b6cb-b4a7-4e97-be60-d63713461649<BR>ID=ffb5b6cb-b4a7-4e97-be60-d63713461649<BR>LABEL=UNIT:2||Abutia Amegame|2019226<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=2<BR>DATE=2019-02-26T00:00:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"231",231<BR>ECID=557259f2-77c8-474c-ab00-ad78dfc810d8<BR>ID=557259f2-77c8-474c-ab00-ad78dfc810d8<BR>LABEL=UNIT:231||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=231<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"232",232<BR>ECID=f3b3d0a1-41be-4013-9f42-75b5d66f0fb9<BR>ID=f3b3d0a1-41be-4013-9f42-75b5d66f0fb9<BR>LABEL=UNIT:232||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=232<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
"233",233<BR>ECID=d1e1486c-4266-4616-9cbc-082afe1b22a1<BR>ID=d1e1486c-4266-4616-9cbc-082afe1b22a1<BR>LABEL=UNIT:233||Abutia Amegame|201956<BR>OWNGEOMETRY=True<BR>EDITED=False<BR>LOCALITY=Abutia Amegame<BR>DATASET=Lots<BR>UNITID=233<BR>DATE=2019-05-06T10:58:00Z<BR>OBJECTTYPE=Unit<BR>,,,,,"-1","0","-1",,,Village,,,,,,"-1","0","-1",,
