binomial name,rank,common name,source,group
Chaetocnema pulicaria,species,Corn flea beetle,https://bioprotectionportal.com/resources/maize-pests-guide/,maize
Oligonychus pratensis,species,Banks grass mite,https://bioprotectionportal.com/resources/maize-pests-guide/,maize
Agrotis ipsilon,species,Black cutworm,https://bioprotectionportal.com/resources/maize-pests-guide/,maize
Phenacoccus manihoti,species,Cassava mealybug,https://wikifarmer.com/library/en/article/major-pests-and-diseases-of-cassava,cassava
Mononychellus progresivus,species,Cassava green mite ,https://wikifarmer.com/library/en/article/major-pests-and-diseases-of-cassava,cassava
Zonocerus variegatus,species,Variegated grasshopper,https://wikifarmer.com/library/en/article/major-pests-and-diseases-of-cassava,cassava
Phenacoccus herreni,species,mealybug ,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Erinnyis ello,species,cassava hornworm,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Cyrtomenus bergi,species,burrowing bug,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Aleurotrachelus socialis,species,whiteflies,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Aleurothrixus aepim,species,,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Frankliniella williamsi,species,thrips,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Vatiga manihotae,species,lacebugs,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Vatiga illudeus,species,,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Amblystria machalana ,species,,https://alliancebioversityciat.org/publications-data/origin-and-management-neotropical-cassava-arthropod-pests,cassava
Mononychellus tanajoa,species,cassava green mite,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Mononychellus mcgregori,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Vatiga illudens,species,lacebug,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Vatiga manihotae,species,lacebug,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Aleurotrachelus socialis,species,whiteflies,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Aleurothrixus aepim,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Trialeurodes variabilis,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Bemisia tuberculata,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Chilomima clarkei,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Coelosternus sulcatulus,species,cassava stem weevil,https://www.cabidigitallibrary.org/doi/abs/10.1079/cabicompendium.15255,cassava
Coelosternus alternans,species,cassava stem weevil,https://www.cabidigitallibrary.org/doi/abs/10.1079/cabicompendium.15254,cassava
Aonidomytilus albus,species,scale,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Anatrepha pickeli,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Anatrepha manihoti,species,,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Neosilva perezi,species,shootflies,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Silva pendula,species,shootflies,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Latrophobia brasiliensis,species,gallmidges,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Aleurodicus disperses,species,whiteflies,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Bemisia afer,species,whiteflies,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
Phyllophaga,genus,whitegrub,https://link.springer.com/article/10.1007/s12042-011-9091-4,cassava
